# Energy spectrum of a cosmic ray isotope calculated in GALPROP run # 54_09b2000d.gz
# for Z=  2, A=  4, V= 0.000e+00 MV, R=  8.50 kpc. 
# The first column is E, the kinetic energy per nucleon after modulation, in MeV,
# and the second column contains E^2.00*dF/dE, where dF/dE is the spectral density of the flux of the isotope.
# The units of dF/dE are cm^-2*s^-1*sr^-1*MeV^-1, so E^2.00*dF/dE is in MeV^2.00*cm^-2*s^-1*sr^-1*Mev^-1.
#     Energy         Flux
  1.0000e-06   2.7996e-11 
  1.3000e-06   3.4399e-11 
  1.6900e-06   4.2266e-11 
  2.1970e-06   5.1932e-11 
  2.8561e-06   6.3809e-11 
  3.7129e-06   7.8402e-11 
  4.8268e-06   9.6333e-11 
  6.2749e-06   1.1836e-10 
  8.1573e-06   1.4543e-10 
  1.0604e-05   1.7869e-10 
  1.3786e-05   2.1956e-10 
  1.7922e-05   2.6977e-10 
  2.3298e-05   3.3147e-10 
  3.0288e-05   4.0728e-10 
  3.9374e-05   5.0042e-10 
  5.1186e-05   6.1487e-10 
  6.6542e-05   7.5549e-10 
  8.6504e-05   9.2827e-10 
  1.1246e-04   1.1406e-09 
  1.4619e-04   1.4014e-09 
  1.9005e-04   1.7219e-09 
  2.4706e-04   2.1157e-09 
  3.2118e-04   2.5996e-09 
  4.1754e-04   3.1941e-09 
  5.4280e-04   3.9622e-09 
  7.0564e-04   5.5895e-09 
  9.1733e-04   8.5007e-09 
  1.1925e-03   1.3599e-08 
  1.5503e-03   2.1723e-08 
  2.0154e-03   3.4707e-08 
  2.6200e-03   5.5451e-08 
  3.4060e-03   8.8598e-08 
  4.4278e-03   1.4156e-07 
  5.7561e-03   2.2619e-07 
  7.4830e-03   3.6144e-07 
  9.7279e-03   5.7757e-07 
  1.2646e-02   9.2299e-07 
  1.6440e-02   1.4751e-06 
  2.1372e-02   2.3576e-06 
  2.7784e-02   3.7683e-06 
  3.6119e-02   6.0240e-06 
  4.6955e-02   9.6310e-06 
  6.1041e-02   1.5400e-05 
  7.9353e-02   2.4630e-05 
  1.0316e-01   3.9402e-05 
  1.3411e-01   6.3054e-05 
  1.7434e-01   1.0094e-04 
  2.2664e-01   1.6169e-04 
  2.9463e-01   2.5914e-04 
  3.8302e-01   4.1568e-04 
  4.9793e-01   6.6745e-04 
  6.4731e-01   1.0730e-03 
  8.4150e-01   1.7278e-03 
  1.0940e+00   2.7872e-03 
  1.4221e+00   4.5059e-03 
  1.8488e+00   7.3026e-03 
  2.4034e+00   1.1867e-02 
  3.1244e+00   1.9340e-02 
  4.0618e+00   3.1603e-02 
  5.2803e+00   5.1755e-02 
  6.8644e+00   8.4863e-02 
  8.9237e+00   1.3912e-01 
  1.1601e+01   2.2752e-01 
  1.5081e+01   3.7022e-01 
  1.9605e+01   5.9734e-01 
  2.5487e+01   9.5260e-01 
  3.3133e+01   1.4987e+00 
  4.3073e+01   2.3221e+00 
  5.5995e+01   3.5480e+00 
  7.2793e+01   5.3316e+00 
  9.4631e+01   7.8405e+00 
  1.2302e+02   1.1259e+01 
  1.5993e+02   1.5744e+01 
  2.0790e+02   2.1348e+01 
  2.7028e+02   2.7889e+01 
  3.5136e+02   3.4813e+01 
  4.5677e+02   4.1239e+01 
  5.9380e+02   4.6042e+01 
  7.7194e+02   4.8240e+01 
  1.0035e+03   4.7534e+01 
  1.3046e+03   4.3932e+01 
  1.6959e+03   3.8367e+01 
  2.2047e+03   3.2156e+01 
  2.8661e+03   2.6404e+01 
  3.7260e+03   2.1673e+01 
  4.8438e+03   1.8019e+01 
  6.2969e+03   1.5216e+01 
  8.1860e+03   1.2975e+01 
  1.0642e+04   1.1092e+01 
  1.3834e+04   9.4615e+00 
  1.7985e+04   8.0345e+00 
  2.3380e+04   6.7831e+00 
  3.0394e+04   5.6954e+00 
  3.9512e+04   4.7622e+00 
  5.1366e+04   3.9686e+00 
  6.6776e+04   3.2983e+00 
  8.6808e+04   2.7355e+00 
  1.1285e+05   2.2635e+00 
  1.4671e+05   1.8689e+00 
  1.9072e+05   1.5412e+00 
  2.4793e+05   1.2698e+00 
  3.2231e+05   1.0454e+00 
  4.1901e+05   8.6009e-01 
  5.4471e+05   7.0730e-01 
  7.0812e+05   5.8154e-01 
  9.2056e+05   4.7795e-01 
  1.1967e+06   3.9278e-01 
  1.5557e+06   3.2273e-01 
  2.0225e+06   2.6512e-01 
  2.6292e+06   2.1774e-01 
  3.4180e+06   1.7879e-01 
  4.4434e+06   1.4678e-01 
  5.7764e+06   1.2048e-01 
  7.5093e+06   9.8880e-02 
  9.7621e+06   8.1141e-02 
  1.2691e+07   6.6575e-02 
  1.6498e+07   5.4618e-02 
  2.1447e+07   4.4803e-02 
  2.7881e+07   3.6749e-02 
  3.6246e+07   3.0140e-02 
  4.7120e+07   2.4717e-02 
  6.1256e+07   2.0268e-02 
  7.9632e+07   1.6619e-02 
  1.0352e+08   1.3626e-02 
  1.3458e+08   1.1171e-02 
  1.7495e+08   9.1583e-03 
  2.2744e+08   7.5077e-03 
  2.9567e+08   6.1543e-03 
  3.8437e+08   5.0446e-03 
  4.9968e+08   4.1349e-03 
  6.4958e+08   3.3891e-03 
  8.4446e+08   2.7777e-03 
  1.0978e+09   2.2766e-03 
  1.4271e+09   1.8658e-03 
  1.8553e+09   1.5291e-03 
  2.4119e+09   1.2531e-03 
  3.1354e+09   1.0270e-03 
  4.0760e+09   8.4160e-04 
  5.2989e+09   6.8968e-04 
  6.8885e+09   5.6518e-04 
  8.9551e+09   4.6316e-04 
  1.1642e+10   3.7955e-04 
  1.5134e+10   3.1103e-04 
  1.9674e+10   2.5488e-04 
  2.5577e+10   2.0887e-04 
  3.3250e+10   1.7116e-04 
  4.3224e+10   1.4027e-04 
  5.6192e+10   1.1495e-04 
  7.3049e+10   9.4201e-05 
  9.4964e+10   7.7199e-05 
  1.2345e+11   6.3267e-05 
  1.6049e+11   5.1851e-05 
  2.0864e+11   4.2495e-05 
  2.7123e+11   3.4829e-05 
  3.5260e+11   2.8546e-05 
  4.5837e+11   2.3398e-05 
  5.9589e+11   1.9179e-05 
  7.7465e+11   1.5721e-05 
  1.0070e+12   1.2887e-05 
  1.3092e+12   1.0565e-05 
  1.7019e+12   8.6616e-06 
  2.2125e+12   7.1015e-06 
  2.8762e+12   5.8229e-06 
  3.7391e+12   4.7748e-06 
  4.8608e+12   3.9157e-06 
  6.3191e+12   3.2115e-06 
  8.2148e+12   2.6341e-06 
  1.0679e+13   2.1608e-06 
  1.3883e+13   1.7728e-06 
  1.8048e+13   1.4546e-06 
  2.3462e+13   1.1937e-06 
  3.0501e+13   9.7973e-07 
  3.9651e+13   8.0424e-07 
  5.1547e+13   6.6031e-07 
  6.7011e+13   5.4224e-07 
  8.7114e+13   4.4537e-07 
  1.1325e+14   3.6589e-07 
  1.4722e+14   3.0066e-07 
  1.9139e+14   2.4713e-07 
  2.4881e+14   2.0318e-07 
  3.2345e+14   1.6710e-07 
  4.2048e+14   1.3748e-07 
  5.4663e+14   1.1315e-07 
