# Energy spectrum of a cosmic ray isotope calculated in GALPROP run # 54_09b2000b.gz
# for Z=  1, A=  1, V= 0.000e+00 MV, R=  8.50 kpc. 
# The first column is E, the kinetic energy per nucleon after modulation, in MeV,
# and the second column contains E^2.00*dF/dE, where dF/dE is the spectral density of the flux of the isotope.
# The units of dF/dE are cm^-2*s^-1*sr^-1*MeV^-1, so E^2.00*dF/dE is in MeV^2.00*cm^-2*s^-1*sr^-1*Mev^-1.
#     Energy         Flux
  1.0000e-06   4.1222e-10 
  1.3000e-06   5.0650e-10 
  1.6900e-06   6.2234e-10 
  2.1970e-06   7.6466e-10 
  2.8561e-06   9.3954e-10 
  3.7129e-06   1.1544e-09 
  4.8268e-06   1.4184e-09 
  6.2749e-06   1.7428e-09 
  8.1573e-06   2.1414e-09 
  1.0604e-05   2.6311e-09 
  1.3786e-05   3.2329e-09 
  1.7922e-05   3.9722e-09 
  2.3298e-05   4.8807e-09 
  3.0288e-05   5.9969e-09 
  3.9374e-05   7.3684e-09 
  5.1186e-05   9.0535e-09 
  6.6542e-05   1.1124e-08 
  8.6504e-05   1.3668e-08 
  1.1246e-04   1.6794e-08 
  1.4619e-04   2.0635e-08 
  1.9005e-04   2.5354e-08 
  2.4706e-04   3.1152e-08 
  3.2118e-04   3.8277e-08 
  4.1754e-04   4.7031e-08 
  5.4280e-04   5.8357e-08 
  7.0564e-04   8.2335e-08 
  9.1733e-04   1.2525e-07 
  1.1925e-03   2.0038e-07 
  1.5503e-03   3.2012e-07 
  2.0154e-03   5.1149e-07 
  2.6200e-03   8.1729e-07 
  3.4060e-03   1.3060e-06 
  4.4278e-03   2.0869e-06 
  5.7561e-03   3.3349e-06 
  7.4830e-03   5.3296e-06 
  9.7279e-03   8.5180e-06 
  1.2646e-02   1.3615e-05 
  1.6440e-02   2.1762e-05 
  2.1372e-02   3.4790e-05 
  2.7784e-02   5.5622e-05 
  3.6119e-02   8.8941e-05 
  4.6955e-02   1.4224e-04 
  6.1041e-02   2.2754e-04 
  7.9353e-02   3.6406e-04 
  1.0316e-01   5.8270e-04 
  1.3411e-01   9.3300e-04 
  1.7434e-01   1.4946e-03 
  2.2664e-01   2.3958e-03 
  2.9463e-01   3.8432e-03 
  3.8302e-01   6.1711e-03 
  4.9793e-01   9.9208e-03 
  6.4731e-01   1.5972e-02 
  8.4150e-01   2.5762e-02 
  1.0940e+00   4.1641e-02 
  1.4221e+00   6.7480e-02 
  1.8488e+00   1.0968e-01 
  2.4034e+00   1.7886e-01 
  3.1244e+00   2.9272e-01 
  4.0618e+00   4.8080e-01 
  5.2803e+00   7.9239e-01 
  6.8644e+00   1.3095e+00 
  8.9237e+00   2.1676e+00 
  1.1601e+01   3.5878e+00 
  1.5081e+01   5.9256e+00 
  1.9605e+01   9.7402e+00 
  2.5487e+01   1.5891e+01 
  3.3133e+01   2.5665e+01 
  4.3073e+01   4.0941e+01 
  5.5995e+01   6.4396e+01 
  7.2793e+01   9.9719e+01 
  9.4631e+01   1.5180e+02 
  1.2302e+02   2.2683e+02 
  1.5993e+02   3.3218e+02 
  2.0790e+02   4.7553e+02 
  2.7028e+02   6.6300e+02 
  3.5136e+02   8.9511e+02 
  4.5677e+02   1.1621e+03 
  5.9380e+02   1.4355e+03 
  7.7194e+02   1.6714e+03 
  1.0035e+03   1.8351e+03 
  1.3046e+03   1.8871e+03 
  1.6959e+03   1.8076e+03 
  2.2047e+03   1.6096e+03 
  2.8661e+03   1.3357e+03 
  3.7260e+03   1.0413e+03 
  4.8438e+03   7.7450e+02 
  6.2969e+03   5.6216e+02 
  8.1860e+03   4.0887e+02 
  1.0642e+04   3.0459e+02 
  1.3834e+04   2.3460e+02 
  1.7985e+04   1.8608e+02 
  2.3380e+04   1.5043e+02 
  3.0394e+04   1.2279e+02 
  3.9512e+04   1.0059e+02 
  5.1366e+04   8.2485e+01 
  6.6776e+04   6.7631e+01 
  8.6808e+04   5.5434e+01 
  1.1285e+05   4.5421e+01 
  1.4671e+05   3.7205e+01 
  1.9072e+05   3.0470e+01 
  2.4793e+05   2.4952e+01 
  3.2231e+05   2.0433e+01 
  4.1901e+05   1.6732e+01 
  5.4471e+05   1.3701e+01 
  7.0812e+05   1.1220e+01 
  9.2056e+05   9.1892e+00 
  1.1967e+06   7.5261e+00 
  1.5557e+06   6.1644e+00 
  2.0225e+06   5.0493e+00 
  2.6292e+06   4.1361e+00 
  3.4180e+06   3.3882e+00 
  4.4434e+06   2.7757e+00 
  5.7764e+06   2.2739e+00 
  7.5093e+06   1.8629e+00 
  9.7621e+06   1.5262e+00 
  1.2691e+07   1.2504e+00 
  1.6498e+07   1.0245e+00 
  2.1447e+07   8.3936e-01 
  2.7881e+07   6.8770e-01 
  3.6246e+07   5.6345e-01 
  4.7120e+07   4.6165e-01 
  6.1256e+07   3.7824e-01 
  7.9632e+07   3.0991e-01 
  1.0352e+08   2.5392e-01 
  1.3458e+08   2.0804e-01 
  1.7495e+08   1.7045e-01 
  2.2744e+08   1.3966e-01 
  2.9567e+08   1.1443e-01 
  3.8437e+08   9.3754e-02 
  4.9968e+08   7.6815e-02 
  6.4958e+08   6.2937e-02 
  8.4446e+08   5.1567e-02 
  1.0978e+09   4.2250e-02 
  1.4271e+09   3.4617e-02 
